uniprot,symbol,compartments,n_compartments
Q13153,PAK1,cell junction;cytoskeleton;cytosol;nucleus;plasma_membrane,5
O00221,NFKBIE,cytosol;nucleolus;nucleus,3
Q13542,EIF4EBP2,nucleus;plasma_membrane,2
Q1MSJ5-1,CSPP1,cytoskeleton;plasma_membrane,2
Q5JW85,GSTA3,cytosol;extracellular;vesicle,3
O15217,GSTA4,cytosol,1
Q00888,PSG4,extracellular,1
P27694,RPA1,nucleus,1
Q99816,TSG101,cytoskeleton;cytosol;endosome;extracellular;nucleolus;nucleus;plasma_membrane;vesicle,8
Q8N4W9,ZNF808,nucleus,1
P51911,CNN1,cell junction;cytoskeleton,2
A6NGU5,GGT2,endoplasmic_reticulum;extracellular;plasma_membrane;vesicle,4
P55957-2,BID,cytosol;mitochondrion,2
P61968,LMO4,nucleus,1
P49715,CEBPA,nucleolus;nucleus,2
O75391,SPAG7,nucleus,1
O00625,PIR,cytosol;nucleus,2
P35749,MYH11,cytoskeleton;cytosol;extracellular;plasma_membrane;vesicle,5
P43034,PAFAH1B1,cytoskeleton;cytosol;extracellular;nucleus;plasma_membrane;vesicle,6
Q6ZMS4-2,ZNF852,nucleus,1
P83916,CBX1,cytoskeleton;nucleus,2
P00568,AK1,cytosol;extracellular;vesicle,3
O00264,PGRMC1,cell junction;endoplasmic_reticulum;extracellular;mitochondrion;nucleus;plasma_membrane;synapse;vesicle,8
P20226,TBP,nucleolus;nucleus,2
P49419-2,ALDH7A1,cytosol;extracellular;golgi;mitochondrion;nucleus;plasma_membrane;vesicle,7
Q8TF42,UBASH3B,nucleus,1
Q8IXV7,KLHDC8B,cytosol;extracellular;plasma_membrane,3
Q13686,ALKBH1,mitochondrion;nucleus,2
O94817,ATG12,cytosol;vesicle,2
A4D1S5,RAB19,extracellular;plasma_membrane;vesicle,3
O60304,ZNF500,cytosol;nucleus,2
O95628-2,CNOT4,cytosol;nucleus,2
Q9NP71-3,MLXIPL,cytosol;nucleus,2
Q9HAP2,MLXIP,mitochondrion;nucleus,2
Q96P71-2,NECAB3,endoplasmic_reticulum;golgi;nucleus,3
Q8NEF3-2,CCDC112,cytoskeleton,1
Q92574,TSC1,cytosol;lysosome;nucleus;plasma_membrane,4
Q6DN90,IQSEC1,cell junction;cytosol;nucleolus;nucleus;plasma_membrane;synapse;vesicle,7
Q9BR77,CCDC77,cytoskeleton,1
Q9H147,DNTTIP1,nucleolus;nucleus,2
Q5T9C2-2,FAM102A,nucleus,1
P38432,COIL,nucleolus;nucleus,2
Q6P4F1-2,FUT10,endoplasmic_reticulum;golgi;lysosome;nucleus,4
Q13286-2,CLN3,cell junction;endoplasmic_reticulum;endosome;golgi;lysosome;nucleus;plasma_membrane;synapse;vesicle,9
O00238,BMPR1B,plasma_membrane,1
Q96AN5,TMEM143,mitochondrion,1
P36383,GJC1,cell junction;endoplasmic_reticulum;nucleus;plasma_membrane,4
Q9P1Z3,HCN3,plasma_membrane,1
O94851-2,MICAL2,nucleus;plasma_membrane,2
Q9P0S3,ORMDL1,endoplasmic_reticulum;nucleus,2
Q15125,EBP,endoplasmic_reticulum;nucleus;vesicle,3
Q9Y2Q0-2,ATP8A1,endoplasmic_reticulum;extracellular;golgi;lysosome;plasma_membrane;vesicle,6
Q9H228,S1PR5,plasma_membrane,1
O15120,AGPAT2,endoplasmic_reticulum;nucleus;plasma_membrane;vesicle,4
Q12893,TMEM115,golgi;nucleus,2
Q9UL51,HCN2,plasma_membrane,1
Q9NW15-2,ANO10,plasma_membrane,1
Q8WU68-3,U2AF1L4,nucleus,1
O76083-14,PDE9A,cytosol;endoplasmic_reticulum;golgi;nucleus;plasma_membrane,5
Q9Y250-2,LZTS1,cell junction;plasma_membrane;synapse,3
O60658,PDE8A,cytosol;extracellular;vesicle,3
P11801,PSKH1,cytoskeleton;cytosol;endoplasmic_reticulum;golgi;nucleus;plasma_membrane,6
Q13237,PRKG2,cytosol;plasma_membrane,2
O00562-2,PITPNM1,cytosol;endoplasmic_reticulum;golgi;nucleus;plasma_membrane,5
Q9H089,LSG1,cytosol;endoplasmic_reticulum;nucleus,3
Q9BXB5,OSBPL10,cytoskeleton;cytosol;endoplasmic_reticulum;golgi;lysosome,5
Q969R2,OSBP2,cytosol;endoplasmic_reticulum;plasma_membrane;vesicle,4
Q6WCQ1-2,MPRIP,cell junction;cytoskeleton;cytosol,3
Q9H939,PSTPIP2,plasma_membrane,1
Q9BZ72-2,PITPNM2,cytosol,1
A6ND36,FAM83G,cytosol;nucleus,2
Q9H2M9,RAB3GAP2,cell junction;cytosol;endoplasmic_reticulum;nucleus;plasma_membrane;synapse,6
B9ZVR7,SPEG,nucleus,1
Q7KZF4,SND1,cytosol;extracellular;nucleus;vesicle,4
Q99536,VAT1,cytosol;extracellular;lysosome;mitochondrion;vesicle,5
O14646-2,CHD1,nucleus,1
Q9H9F9,ACTR5,nucleus,1
Q9C086,INO80B,nucleolus;nucleus,2
Q53TQ3-2,INO80D,nucleus,1
P10244,MYBL2,nucleus,1
Q9C0B0,UNK,cytosol,1
O75027-2,ABCB7,mitochondrion,1
O95671-2,ASMTL,cytosol,1
Q9UBB4,ATXN10,cytoskeleton;cytosol;extracellular;plasma_membrane,4
Q99726,SLC30A3,cell junction;endosome;extracellular;lysosome;plasma_membrane;synapse;vesicle,7
P17066,HSPA6,cytoskeleton;cytosol;extracellular;nucleus;plasma_membrane;vesicle,6
P98088,MUC5AC,extracellular;golgi;plasma_membrane;vesicle,4
Q96G01-3,BICD1,cytoskeleton;cytosol;golgi;vesicle,4
Q14257,RCN2,endoplasmic_reticulum,1
O14732-2,IMPA2,cytosol,1
Q08211,DHX9,cytoskeleton;cytosol;nucleolus;nucleus,4
Q96B36-2,AKT1S1,cytosol;nucleus,2
Q86VP3-3,PACS2,endoplasmic_reticulum;mitochondrion,2
Q8TEW0-2,PARD3,cell junction;cytoskeleton;cytosol;plasma_membrane,4
Q6P0Q8-2,MAST2,cytoskeleton;plasma_membrane,2
Q7Z6B7-2,SRGAP1,cytosol,1
Q9BZ29-4,DOCK9,cytosol,1
Q9Y2U5,MAP3K2,cytosol;nucleus,2
Q99759-2,MAP3K3,cytosol,1
C9JK41,KIF13B,cytoskeleton;plasma_membrane,2
O95208-2,EPN2,cytosol;endosome;plasma_membrane;vesicle,4
Q86SQ0,PHLDB2,cytoskeleton;cytosol;plasma_membrane,3
E9PD21,RASAL2,cytosol,1
Q9P227-2,ARHGAP23,cytosol;extracellular;vesicle,3
P56524,HDAC4,cytosol;nucleus,2
